id,title,content,date,sentiment_label
1,계정 연동 후 접속이 안 됩니다,해상도 옵션을 바꾸면 UI가 틀어져 버튼을 누를 수 없습니다.,2025-10-01 00:02:00,0
2,뉴비 질문 있어요,어제부터 길드 메뉴 구성이 달라진 것 같아 질문드립니다.,2025-10-01 00:14:00,1
3,친구 초대 이벤트 참여 방법 알려주세요,거래 제한 레벨이나 일일 횟수가 정해져 있나요?,2025-10-01 00:28:00,1
4,튜토리얼이 더 친절해졌어요,초보자도 이해하기 쉬워져서 추천하고 싶네요.,2025-10-01 00:40:00,2
5,상점 쿠폰 사용처 문의,어제 올라온 패치 노트를 못 찾겠어요. 주소 알려주세요.,2025-10-01 00:59:00,1
6,던전 입장 티켓이 소모만 되고 입장이 안 돼요,수령 버튼을 눌러도 실패 알림만 나오고 보상은 없습니다.,2025-10-01 01:05:00,0
7,초보가 선택할 직업 추천 부탁합니다,어제부터 길드 메뉴 구성이 달라진 것 같아 질문드립니다.,2025-10-01 01:22:00,1
8,교환소 사용 제한 기준이 뭔가요?,초대 코드 입력 위치와 참여 조건이 어떻게 되나요?,2025-10-01 01:35:00,1
9,[모집] 자유부대 신규 부대원 모집합니다,어제 올라온 패치 노트를 못 찾겠어요. 주소 알려주세요.,2025-10-01 01:51:00,1
10,이벤트 구성 너무 알찹니다,전투가 매끄럽고 로딩도 빨라져 만족합니다.,2025-10-01 01:59:00,2
11,계정 연동 후 접속이 안 됩니다,설치 마치고 실행하면 바로 꺼집니다. 해결 방법이 있을까요?,2025-10-01 02:14:00,0
12,서버 이전 기능 일정 궁금합니다,소통용 공식 서버가 있다면 초대 링크 부탁드려요.,2025-10-01 02:26:00,1
13,컨트롤러 지원하나요?,쿠폰은 메인 메뉴의 설정 > 쿠폰 입력에서 사용할 수 있습니다.,2025-10-01 02:38:00,1
14,설치 후 실행이 안 됩니다,가입 버튼을 눌러도 실패만 뜨고 이유가 표시되지 않습니다.,2025-10-01 02:49:00,0
15,로그인 화면에서 멈춰요,티켓만 소모되고 로딩에서 멈춥니다. 손해 보상 가능한가요?,2025-10-01 03:09:00,0
