id,title,content,date,game,label
1,업데이트 이후 전반적으로 좋아졌네요,"사냥, 던전, 거래 모두 무리 없이 돌아갑니다. 개발팀 고생 많으셨습니다.",2025.10.11 9:39,Fantasy Quest,정상
2,로그인 창에서 멈춰요,"접속 시 로딩 표시만 계속 돌고, 일정 시간 후 자동으로 초기 화면으로 돌아옵니다.",2025.10.11 9:46,Fantasy Quest,로그인
3,비밀번호 맞는데 로그인 안 됩니다,인증 코드 입력 후 계속 실패가 뜹니다. 여러 번 시도해도 같은 상황입니다. 혹시 서버 점검 중인가요?,2025.10.11 10:04,Fantasy Quest,로그인
4,결제 완료됐는데 아이템이 안 들어와요,결제 승인 문자는 왔는데 게임 안에서는 보석이 들어오지 않았습니다. 확인 부탁드립니다.,2025.10.11 11:02,Fantasy Quest,결제
5,오늘은 안정적인데요?,"사냥, 던전, 거래 모두 무리 없이 돌아갑니다. 개발팀 고생 많으셨습니다.",2025.10.11 11:26,Fantasy Quest,정상
6,스킬 사용하면 화면이 잠깐 멈춰요,"스킬 연계 시 반응이 느려지고, 파티 플레이 중 딜레이가 크게 느껴집니다.",2025.10.11 11:29,Fantasy Quest,렉
7,레이드 하다가 앱이 종료됐어요,레이드 3페이즈에서 갑자기 앱이 종료되어 보상을 못 받았습니다. 재현이 자주 됩니다.,2025.10.11 11:53,Fantasy Quest,튕김
8,던전 중간에 게임이 튕겨요,월드 보스 입장 직후 튕김이 발생합니다. 기기 재부팅 후에도 동일합니다.,2025.10.11 12:34,Fantasy Quest,튕김
9,결제창에서 계속 에러가 납니다,카드 선택 후 결제 완료 직전에 '서버 오류'가 뜨고 화면이 멈춥니다. 재시도하면 중복 결제될까 걱정입니다.,2025.10.11 12:42,Fantasy Quest,결제
10,요즘 서버 상태 괜찮습니다,어제보다 서버가 안정적인 느낌입니다. 접속자 많아도 큰 끊김 없이 잘 됩니다.,2025.10.11 12:56,Fantasy Quest,정상
11,이번 주는 렉 거의 못 느꼈어요,어제보다 서버가 안정적인 느낌입니다. 접속자 많아도 큰 끊김 없이 잘 됩니다.,2025.10.11 13:05,Fantasy Quest,정상
12,보상으로 받은 장비가 사라졌습니다,퀘스트 보상으로 받은 무기가 인벤토리에서 사라졌습니다. 접속을 다시 해도 보이지 않습니다.,2025.10.11 13:12,Fantasy Quest,아이템
13,보상으로 받은 장비가 사라졌습니다,강화 시도 후 재료가 사라졌는데 강화 결과는 반영되지 않았습니다. 복구 부탁드립니다.,2025.10.11 14:05,Fantasy Quest,아이템
14,재설치해도 실행이 되지 않습니다,패치 이후 최초 실행 시 강제 종료가 반복됩니다. 기기 호환성 문제인지 확인 바랍니다.,2025.10.11 14:16,Fantasy Quest,실행
15,결제창에서 계속 에러가 납니다,구매 내역에는 기록이 있는데 인벤토리에는 해당 아이템이 보이지 않습니다. 동기화 문제인지요?,2025.10.11 15:20,Fantasy Quest,결제
16,보스전에서 프레임이 크게 떨어집니다,특히 보스전에서 인원 몰리면 프레임이 10 이하로 떨어집니다. 네트워크는 정상인데 게임만 느립니다.,2025.10.11 16:00,Fantasy Quest,렉
17,결제 완료됐는데 아이템이 안 들어와요,결제 승인 문자는 왔는데 게임 안에서는 보석이 들어오지 않았습니다. 확인 부탁드립니다.,2025.10.11 16:18,Fantasy Quest,결제
18,게임 플레이 꽤 쾌적합니다,어제보다 서버가 안정적인 느낌입니다. 접속자 많아도 큰 끊김 없이 잘 됩니다.,2025.10.11 17:10,Fantasy Quest,정상
19,전투 들어가면 끊김이 심해요,특히 보스전에서 인원 몰리면 프레임이 10 이하로 떨어집니다. 네트워크는 정상인데 게임만 느립니다.,2025.10.11 17:17,Fantasy Quest,렉
20,로그엔 획득으로 찍히는데 실제로는 없습니다,퀘스트 보상으로 받은 무기가 인벤토리에서 사라졌습니다. 접속을 다시 해도 보이지 않습니다.,2025.10.11 17:27,Fantasy Quest,아이템
21,요즘 서버 상태 괜찮습니다,"사냥, 던전, 거래 모두 무리 없이 돌아갑니다. 개발팀 고생 많으셨습니다.",2025.10.11 17:29,Fantasy Quest,정상
22,보스전에서 프레임이 크게 떨어집니다,"스킬 연계 시 반응이 느려지고, 파티 플레이 중 딜레이가 크게 느껴집니다.",2025.10.11 17:39,Fantasy Quest,렉
23,오늘은 안정적인데요?,오전에는 잠깐 느렸는데 지금은 쾌적하네요. 이벤트 중에도 무난합니다.,2025.10.11 17:53,Fantasy Quest,정상
24,게임 플레이 꽤 쾌적합니다,오전에는 잠깐 느렸는데 지금은 쾌적하네요. 이벤트 중에도 무난합니다.,2025.10.11 18:21,Fantasy Quest,정상
25,오늘은 안정적인데요?,어제보다 서버가 안정적인 느낌입니다. 접속자 많아도 큰 끊김 없이 잘 됩니다.,2025.10.11 20:10,Fantasy Quest,정상
26,던전 중간에 게임이 튕겨요,월드 보스 입장 직후 튕김이 발생합니다. 기기 재부팅 후에도 동일합니다.,2025.10.11 20:27,Fantasy Quest,튕김
27,맵 이동할 때마다 렉이 걸립니다,"스킬 연계 시 반응이 느려지고, 파티 플레이 중 딜레이가 크게 느껴집니다.",2025.10.11 20:59,Fantasy Quest,렉
28,업데이트 이후 전반적으로 좋아졌네요,오전에는 잠깐 느렸는데 지금은 쾌적하네요. 이벤트 중에도 무난합니다.,2025.10.11 21:13,Fantasy Quest,정상
29,게임 플레이 꽤 쾌적합니다,어제보다 서버가 안정적인 느낌입니다. 접속자 많아도 큰 끊김 없이 잘 됩니다.,2025.10.11 21:27,Fantasy Quest,정상
30,게임 플레이 꽤 쾌적합니다,오전에는 잠깐 느렸는데 지금은 쾌적하네요. 이벤트 중에도 무난합니다.,2025.10.11 23:11,Fantasy Quest,정상
31,던전 중간에 게임이 튕겨요,"로딩 중간에 강제 종료된 다음, 다시 켜면 로그인부터 다시 해야 합니다. 데이터 손실도 있었습니다.",2025.10.11 23:15,Fantasy Quest,튕김
32,패치 이후 처음 실행 시 계속 꺼집니다,패치 이후 최초 실행 시 강제 종료가 반복됩니다. 기기 호환성 문제인지 확인 바랍니다.,2025.10.11 23:20,Fantasy Quest,실행
33,던전 중간에 게임이 튕겨요,"로딩 중간에 강제 종료된 다음, 다시 켜면 로그인부터 다시 해야 합니다. 데이터 손실도 있었습니다.",2025.10.11 23:26,Fantasy Quest,튕김
34,실행 버튼 누르면 바로 종료돼요,앱을 켜면 바로 종료되어 플레이가 불가능합니다. 캐시 삭제 및 재설치했지만 동일합니다.,2025.10.12 0:31,Fantasy Quest,실행
35,로그인 창에서 멈춰요,아이디/비밀번호는 맞는데 로그인 버튼을 눌러도 다음 화면으로 넘어가지 않습니다. 캐시 지워도 동일합니다.,2025.10.12 0:34,Fantasy Quest,로그인
36,간헐적으로 결제가 중복되는 것 같습니다,구매 내역에는 기록이 있는데 인벤토리에는 해당 아이템이 보이지 않습니다. 동기화 문제인지요?,2025.10.12 0:43,Fantasy Quest,결제
37,요즘 서버 상태 괜찮습니다,"사냥, 던전, 거래 모두 무리 없이 돌아갑니다. 개발팀 고생 많으셨습니다.",2025.10.12 0:43,Fantasy Quest,정상
38,지금 로그인 계속 실패합니다,인증 코드 입력 후 계속 실패가 뜹니다. 여러 번 시도해도 같은 상황입니다. 혹시 서버 점검 중인가요?,2025.10.12 0:43,Fantasy Quest,로그인
39,요즘 서버 상태 괜찮습니다,오전에는 잠깐 느렸는데 지금은 쾌적하네요. 이벤트 중에도 무난합니다.,2025.10.12 0:56,Fantasy Quest,정상
40,로그인 창에서 멈춰요,아이디/비밀번호는 맞는데 로그인 버튼을 눌러도 다음 화면으로 넘어가지 않습니다. 캐시 지워도 동일합니다.,2025.10.12 1:00,Fantasy Quest,로그인
41,접속 버튼 눌러도 반응이 없어요,"접속 시 로딩 표시만 계속 돌고, 일정 시간 후 자동으로 초기 화면으로 돌아옵니다.",2025.10.12 1:01,Fantasy Quest,로그인
